region,county,district_name,total_enrollment,tea_description,bill_category,average_base_pay,alice_threshold_hh_under_65,difference
08,CASS COUNTY,BLOOMBURG ISD,243,Rural,under 300,50581,52431.2437442076,-1850
08,CASS COUNTY,HUGHES SPRINGS ISD,1117,Non-metropolitan Stable,under 1600,55095,52431.2437442076,2664
08,CASS COUNTY,LINDEN-KILDARE CISD,654,Rural,under 1600,47586,52431.2437442076,-4845
08,CASS COUNTY,MCLEOD ISD,428,Rural,under 1600,53909,52431.2437442076,1478
08,CASS COUNTY,QUEEN CITY ISD,926,Non-metropolitan Stable,under 1600,51612,52431.2437442076,-819
16,CASTRO COUNTY,DIMMITT ISD,1088,Other Central City Suburban,under 1600,49381,60000,-10619
16,CASTRO COUNTY,HART ISD,212,Rural,under 300,51357,60000,-8643
16,CASTRO COUNTY,NAZARETH ISD,247,Rural,under 300,52427,60000,-7573
04,CHAMBERS COUNTY,ANAHUAC ISD,1547,Non-metropolitan Stable,under 1600,63041,71743.1475042064,-8702
04,CHAMBERS COUNTY,BARBERS HILL ISD,7723,Other Central City Suburban,over 5000,79614,71743.1475042064,7871
05,CHAMBERS COUNTY,EAST CHAMBERS ISD,1563,Non-metropolitan Stable,under 1600,59672,71743.1475042064,-12071
07,CHEROKEE COUNTY,ALTO ISD,504,Rural,under 1600,62777,58527.5430099072,4249
07,CHEROKEE COUNTY,JACKSONVILLE ISD,4834,Independent Town,under 5000,55145,58527.5430099072,-3383
07,CHEROKEE COUNTY,NEW SUMMERFIELD ISD,511,Rural,under 1600,60056,58527.5430099072,1528
07,CHEROKEE COUNTY,RUSK ISD,2057,Non-metropolitan Stable,under 5000,58369,58527.5430099072,-159
07,CHEROKEE COUNTY,WELLS ISD,242,Rural,under 300,53983,58527.5430099072,-4545
16,CHILDRESS COUNTY,CHILDRESS ISD,976,Non-metropolitan Stable,under 1600,50502,50000,502
09,CLAY COUNTY,BELLEVUE ISD,181,Rural,under 300,57016,53445.4588235294,3571
09,CLAY COUNTY,HENRIETTA ISD,954,Other Central City Suburban,under 1600,52005,53445.4588235294,-1440
09,CLAY COUNTY,MIDWAY ISD,8986,Rural,over 5000,55565,53445.4588235294,2120
09,CLAY COUNTY,PETROLIA CISD,476,Rural,under 1600,53046,53445.4588235294,-399
17,COCHRAN COUNTY,MORTON ISD,354,Rural,under 1600,54531,45000,9531
17,COCHRAN COUNTY,WHITEFACE CISD,325,Rural,under 1600,53339,45000,8339
15,COKE COUNTY,BRONTE ISD,224,Rural,under 300,49603,48208.5983889528,1394
15,COKE COUNTY,ROBERT LEE ISD,263,Rural,under 300,52765,48208.5983889528,4556
15,COLEMAN COUNTY,COLEMAN ISD,794,Rural,under 1600,51398,50000,1398
15,COLEMAN COUNTY,PANTHER CREEK CISD,161,Rural,under 300,61416,50000,11416
15,COLEMAN COUNTY,SANTA ANNA ISD,253,Rural,under 300,53841,50000,3841
10,COLLIN COUNTY,ALLEN ISD,21370,Other Central City Suburban,over 5000,65533,73382.3164199047,-7849
10,COLLIN COUNTY,ANNA ISD,5470,Non-metropolitan Fast Growing,over 5000,70020,73382.3164199047,-3362
10,COLLIN COUNTY,BLUE RIDGE ISD,1030,Non-metropolitan Fast Growing,under 1600,61397,73382.3164199047,-11985
10,COLLIN COUNTY,CELINA ISD,4577,Non-metropolitan Fast Growing,under 5000,61075,73382.3164199047,-12307
10,COLLIN COUNTY,COMMUNITY ISD,4628,Other Central City Suburban,under 5000,69558,73382.3164199047,-3824
10,COLLIN COUNTY,FARMERSVILLE ISD,2236,Non-metropolitan Fast Growing,under 5000,69209,73382.3164199047,-4173
10,COLLIN COUNTY,FRISCO ISD,66698,Other Central City,over 5000,65161,73382.3164199047,-8221
10,COLLIN COUNTY,LOVEJOY ISD,4092,Non-metropolitan Stable,under 5000,59701,73382.3164199047,-13681
10,COLLIN COUNTY,MCKINNEY ISD,23306,Other Central City Suburban,over 5000,65946,73382.3164199047,-7436
10,COLLIN COUNTY,MELISSA ISD,6735,Non-metropolitan Fast Growing,over 5000,62759,73382.3164199047,-10623
10,COLLIN COUNTY,PLANO ISD,47899,Major Suburban,over 5000,64307,73382.3164199047,-9075
10,COLLIN COUNTY,PRINCETON ISD,8688,Non-metropolitan Fast Growing,over 5000,65465,73382.3164199047,-7917
