region,county,district_name,total_enrollment,tea_description,bill_category,average_base_pay,alice_threshold_hh_under_65,difference
19,EL PASO COUNTY,EL PASO ISD,49139,Major Urban,over 5000,59622,59409.950314215,212
19,EL PASO COUNTY,FABENS ISD,1908,Non-metropolitan Stable,under 5000,62630,59409.950314215,3220
19,EL PASO COUNTY,SAN ELIZARIO ISD,3009,Major Suburban,under 5000,73946,59409.950314215,14536
19,EL PASO COUNTY,SOCORRO ISD,47304,Major Urban,over 5000,85893,59409.950314215,26483
19,EL PASO COUNTY,TORNILLO ISD,762,Rural,under 1600,63656,59409.950314215,4246
19,EL PASO COUNTY,YSLETA ISD,34918,Major Urban,over 5000,64540,59409.950314215,5130
10,ELLIS COUNTY,AVALON ISD,349,Rural,under 1600,54656,72050.8145687259,-17395
10,ELLIS COUNTY,ENNIS ISD,6466,Other Central City Suburban,over 5000,60337,72050.8145687259,-11714
10,ELLIS COUNTY,FERRIS ISD,2877,Other Central City Suburban,under 5000,60673,72050.8145687259,-11378
10,ELLIS COUNTY,ITALY ISD,628,Rural,under 1600,61733,72050.8145687259,-10318
10,ELLIS COUNTY,MAYPEARL ISD,1224,Other Central City Suburban,under 1600,55992,72050.8145687259,-16059
10,ELLIS COUNTY,MIDLOTHIAN ISD,11103,Other Central City,over 5000,62410,72050.8145687259,-9641
10,ELLIS COUNTY,MILFORD ISD,261,Rural,under 300,60902,72050.8145687259,-11149
10,ELLIS COUNTY,PALMER ISD,1338,Other Central City Suburban,under 1600,62289,72050.8145687259,-9762
10,ELLIS COUNTY,RED OAK ISD,6592,Other Central City Suburban,over 5000,62580,72050.8145687259,-9471
10,ELLIS COUNTY,WAXAHACHIE ISD,11052,Other Central City,over 5000,62931,72050.8145687259,-9120
11,ERATH COUNTY,BLUFF DALE ISD,221,Rural,under 300,47876,56064.4094384609,-8188
11,ERATH COUNTY,DUBLIN ISD,1146,Non-metropolitan Stable,under 1600,48701,56064.4094384609,-7363
11,ERATH COUNTY,HUCKABAY ISD,330,Non-metropolitan Fast Growing,under 1600,56559,56064.4094384609,495
11,ERATH COUNTY,LINGLEVILLE ISD,274,Rural,under 300,54529,56064.4094384609,-1535
11,ERATH COUNTY,MORGAN MILL ISD,122,Rural,under 300,52297,56064.4094384609,-3767
11,ERATH COUNTY,STEPHENVILLE ISD,3678,Independent Town,under 5000,54788,56064.4094384609,-1276
11,ERATH COUNTY,THREE WAY ISD,205,Rural,under 300,56519,56064.4094384609,455
12,FALLS COUNTY,CHILTON ISD,572,Rural,under 1600,47578,50000,-2422
12,FALLS COUNTY,MARLIN ISD,903,Non-metropolitan Stable,under 1600,58779,50000,8779
12,FALLS COUNTY,ROSEBUD-LOTT ISD,756,Rural,under 1600,55502,50000,5502
12,FALLS COUNTY,WESTPHALIA ISD,156,Rural,under 300,55779,50000,5779
10,FANNIN COUNTY,BONHAM ISD,1974,Independent Town,under 5000,53456,61779.6105587933,-8324
10,FANNIN COUNTY,DODD CITY ISD,320,Rural,under 1600,58088,61779.6105587933,-3692
10,FANNIN COUNTY,ECTOR ISD,252,Rural,under 300,55477,61779.6105587933,-6303
08,FANNIN COUNTY,HONEY GROVE ISD,618,Rural,under 1600,57494,61779.6105587933,-4286
10,FANNIN COUNTY,LEONARD ISD,814,Rural,under 1600,58909,61779.6105587933,-2871
10,FANNIN COUNTY,SAM RAYBURN ISD,484,Rural,under 1600,57434,61779.6105587933,-4346
10,FANNIN COUNTY,SAVOY ISD,302,Rural,under 1600,50278,61779.6105587933,-11502
10,FANNIN COUNTY,TRENTON ISD,700,Non-metropolitan Fast Growing,under 1600,57628,61779.6105587933,-4152
13,FAYETTE COUNTY,FAYETTEVILLE ISD,290,Rural,under 300,50701,50000,701
13,FAYETTE COUNTY,FLATONIA ISD,659,Rural,under 1600,56120,50000,6120
13,FAYETTE COUNTY,LA GRANGE ISD,1926,Independent Town,under 5000,52703,50000,2703
13,FAYETTE COUNTY,ROUND TOP-CARMINE ISD,240,Rural,under 300,52693,50000,2693
13,FAYETTE COUNTY,SCHULENBURG ISD,663,Rural,under 1600,55001,50000,5001
14,FISHER COUNTY,ROBY CISD,307,Rural,under 1600,54339,45000,9339
14,FISHER COUNTY,ROTAN ISD,271,Rural,under 300,52214,45000,7214
17,FLOYD COUNTY,FLOYDADA COLLEGIATE ISD,681,Rural,under 1600,45032,50000,-4968
17,FLOYD COUNTY,LOCKNEY ISD,404,Rural,under 1600,61144,50000,11144
09,FOARD COUNTY,CROWELL ISD,196,Rural,under 300,51176,45000,6176
04,FORT BEND COUNTY,FORT BEND ISD,80206,Major Suburban,over 5000,65481,75000,-9519
04,FORT BEND COUNTY,LAMAR CISD,44512,Other Central City Suburban,over 5000,70376,75000,-4624
04,FORT BEND COUNTY,NEEDVILLE ISD,3598,Non-metropolitan Stable,under 5000,67357,75000,-7643
04,FORT BEND COUNTY,STAFFORD MSD,3479,Non-metropolitan Stable,under 5000,64640,75000,-10360
08,FRANKLIN COUNTY,MOUNT VERNON ISD,1563,Non-metropolitan Stable,under 1600,61797,50000,11797
12,FREESTONE COUNTY,DEW ISD,181,Rural,under 300,63883,50000,13883
12,FREESTONE COUNTY,FAIRFIELD ISD,1670,Non-metropolitan Stable,under 5000,56298,50000,6298
12,FREESTONE COUNTY,TEAGUE ISD,1251,Non-metropolitan Stable,under 1600,52563,50000,2563
12,FREESTONE COUNTY,WORTHAM ISD,537,Rural,under 1600,51791,50000,1791
20,FRIO COUNTY,DILLEY ISD,868,Non-metropolitan Stable,under 1600,50341,50000,341
20,FRIO COUNTY,PEARSALL ISD,2023,Non-metropolitan Stable,under 5000,56651,50000,6651
17,GAINES COUNTY,LOOP ISD,143,Rural,under 300,53321,60000,-6679
17,GAINES COUNTY,SEAGRAVES ISD,512,Rural,under 1600,57505,60000,-2495
17,GAINES COUNTY,SEMINOLE ISD,2986,Non-metropolitan Stable,under 5000,62025,60000,2025
04,GALVESTON COUNTY,CLEAR CREEK ISD,40132,Other Central City,over 5000,67182,60000,7182
04,GALVESTON COUNTY,DICKINSON ISD,12592,Other Central City Suburban,over 5000,63970,60000,3970
04,GALVESTON COUNTY,FRIENDSWOOD ISD,6210,Other Central City Suburban,over 5000,63917,60000,3917
04,GALVESTON COUNTY,GALVESTON ISD,6446,Other Central City Suburban,over 5000,60949,60000,949
05,GALVESTON COUNTY,HIGH ISLAND ISD,159,Rural,under 300,61223,60000,1223
04,GALVESTON COUNTY,HITCHCOCK ISD,1899,Non-metropolitan Stable,under 5000,64594,60000,4594
04,GALVESTON COUNTY,SANTA FE ISD,4397,Other Central City Suburban,under 5000,64493,60000,4493
04,GALVESTON COUNTY,TEXAS CITY ISD,7874,Other Central City Suburban,over 5000,64167,60000,4167
17,GARZA COUNTY,POST ISD,705,Rural,under 1600,48460,50000,-1540
17,GARZA COUNTY,SOUTHLAND ISD,127,Rural,under 300,44832,50000,-5168
13,GILLESPIE COUNTY,DOSS CONSOLIDATED CSD,0,Rural,under 300,50387,50000,387
13,GILLESPIE COUNTY,FREDERICKSBURG ISD,3005,Independent Town,under 5000,60017,50000,10017
15,GILLESPIE COUNTY,HARPER ISD,612,Rural,under 1600,57788,50000,7788
18,GLASSCOCK COUNTY,GLASSCOCK COUNTY ISD,292,Rural,under 300,65791,50000,15791
03,GOLIAD COUNTY,GOLIAD ISD,1280,Non-metropolitan Stable,under 1600,54640,60000,-5360
13,GONZALES COUNTY,GONZALES ISD,2541,Non-metropolitan Stable,under 5000,55846,50000,5846
13,GONZALES COUNTY,NIXON-SMILEY CISD,1011,Non-metropolitan Stable,under 1600,58410,50000,8410
13,GONZALES COUNTY,WAELDER ISD,297,Rural,under 300,49457,50000,-543
16,GRAY COUNTY,GRANDVIEW-HOPKINS ISD,50,Rural,under 300,57617,50000,7617
16,GRAY COUNTY,LEFORS ISD,188,Rural,under 300,54072,50000,4072
16,GRAY COUNTY,MCLEAN ISD,189,Rural,under 300,59804,50000,9804
16,GRAY COUNTY,PAMPA ISD,3326,Non-metropolitan Stable,under 5000,54832,50000,4832
10,GRAYSON COUNTY,BELLS ISD,986,Other Central City Suburban,under 1600,58202,59319.0931291169,-1117
10,GRAYSON COUNTY,COLLINSVILLE ISD,574,Rural,under 1600,56592,59319.0931291169,-2727
